"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","154","POST /psps/{pspId}/fdrs/{fdr}/publish","","2026-07-27","failed","2026-07-27","","","",""
"","190","GET /organizations/{organizationId}/fdrs/{fdr}/revisions/{revision}/psps/{pspId}/payments","","2026-07-27","failed","2026-07-27","","","",""
"","158","GET /psps/{pspId}/published/fdrs/{fdr}/revisions/{revision}/organizations/{organizationId}","","2026-07-27","failed","2026-07-27","","","",""
"","151","GET /psps/{pspId}/created/fdrs/{fdr}/organizations/{organizationId}","","2026-07-27","failed","2026-07-27","","","",""
"","2011","GET /psps/{pspId}/published","","2026-07-27","passed","2026-07-27","","","",""
"","507","PUT /psps/{pspId}/fdrs/{fdr}/payments/add","","2026-07-27","failed","2026-07-27","","","",""
"","159","PUT /psps/{pspId}/fdrs/{fdr}/payments/del","","2026-07-27","failed","2026-07-27","","","",""
"","1732","GET /organizations/{organizationId}/fdrs","","2026-07-27","failed","2026-07-27","","","",""
"","157","DELETE /psps/{pspId}/fdrs/{fdr}","","2026-07-27","failed","2026-07-27","","","",""
"","850","GET /psps/{pspId}/published/fdrs/{fdr}/revisions/{revision}/organizations/{organizationId}/payments","","2026-07-27","failed","2026-07-27","","","",""
"","1356","POST /psps/{pspId}/fdrs/{fdr}","","2026-07-27","failed","2026-07-27","","","",""
"","1855","GET /psps/{pspId}/created","","2026-07-27","passed","2026-07-27","","","",""
"","155","GET /psps/{pspId}/created/fdrs/{fdr}/organizations/{organizationId}/payments","","2026-07-27","failed","2026-07-27","","","",""
"","266","GET /organizations/{organizationId}/fdrs/{fdr}/revisions/{revision}/psps/{pspId}","","2026-07-27","failed","2026-07-27","","","",""
