"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","164","GET /organizations/{organizationId}/fdrs/{fdr}/revisions/{revision}/psps/{pspId}/payments","","2026-07-27","failed","2026-07-27","","","",""
"","2315","GET /psps/{pspId}/published","","2026-07-27","passed","2026-07-27","","","",""
"","2002","GET /organizations/{organizationId}/fdrs","","2026-07-27","failed","2026-07-27","","","",""
"","553","PUT /psps/{pspId}/fdrs/{fdr}/payments/add","","2026-07-27","failed","2026-07-27","","","",""
"","179","GET /psps/{pspId}/created/fdrs/{fdr}/organizations/{organizationId}","","2026-07-27","failed","2026-07-27","","","",""
"","2162","GET /psps/{pspId}/created","","2026-07-27","passed","2026-07-27","","","",""
"","180","GET /organizations/{organizationId}/fdrs/{fdr}/revisions/{revision}/psps/{pspId}","","2026-07-27","failed","2026-07-27","","","",""
"","168","GET /psps/{pspId}/published/fdrs/{fdr}/revisions/{revision}/organizations/{organizationId}","","2026-07-27","failed","2026-07-27","","","",""
"","166","GET /psps/{pspId}/published/fdrs/{fdr}/revisions/{revision}/organizations/{organizationId}/payments","","2026-07-27","failed","2026-07-27","","","",""
"","169","DELETE /psps/{pspId}/fdrs/{fdr}","","2026-07-27","failed","2026-07-27","","","",""
"","167","POST /psps/{pspId}/fdrs/{fdr}/publish","","2026-07-27","failed","2026-07-27","","","",""
"","165","GET /psps/{pspId}/created/fdrs/{fdr}/organizations/{organizationId}/payments","","2026-07-27","failed","2026-07-27","","","",""
"","201","PUT /psps/{pspId}/fdrs/{fdr}/payments/del","","2026-07-27","failed","2026-07-27","","","",""
"","1273","POST /psps/{pspId}/fdrs/{fdr}","","2026-07-27","failed","2026-07-27","","","",""
