"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","41183","Utente tenta due volte di pagare la stessa RPT ma la conversione al nuovo modello fallisce","","2026-07-27","passed","2026-07-27","","","",""
"","2491","L'utente tenta di pagare un carrello con due RPT che hanno una quantita di versamenti oltre il limite","","2026-07-27","passed","2026-07-27","","","",""
"","2854","Utente paga un pagamento singolo di tipo PO con nessun versamento semplice e una marca da bollo","","2026-07-27","passed","2026-07-27","","","",""
"","2483","Utente paga un pagamento singolo di tipo PO con un versamento e nessuna marca da bollo","","2026-07-27","passed","2026-07-27","","","",""
"","43882","Utente paga un pagamento singolo con un versamento e una marca da bollo gia esistente in GPD","","2026-07-27","passed","2026-07-27","","","",""
"","40453","Utente paga un pagamento singolo con due versamenti e nessuna marca da bollo","","2026-07-27","passed","2026-07-27","","","",""
"","45034","L'utente paga un carrello con tre RPT, con quantita diverse di versamenti semplici e marche da bollo","","2026-07-27","passed","2026-07-27","","","",""
"","39715","Utente paga un pagamento singolo con due versamenti semplici e due marche da bollo","","2026-07-27","passed","2026-07-27","","","",""
"","6291","L'utente tenta di pagare un carrello multibeneficiario inserito da ACA e in stato valido","","2026-07-27","passed","2026-07-27","","","",""
"","39649","Utente paga un pagamento singolo con tre versamenti e nessuna marca da bollo","","2026-07-27","passed","2026-07-27","","","",""
"","39625","L'utente paga un carrello con singola RPT senza versamento semplice e una marca da bollo","","2026-07-27","passed","2026-07-27","","","",""
"","6800","Utente tenta di pagare un pagamento singolo con un versamento e nessuna marca da bollo gia esistente in GPD in stato non valido","","2026-07-27","passed","2026-07-27","","","",""
"","85454","L'utente tenta di pagare un carrello con due RPT ma la chiusura del pagamento fallisce, poi ritenta con successo","","2026-07-27","passed","2026-07-27","","","",""
"","4040","L'utente paga un carrello multibeneficiario gia esistente in GPD","","2026-07-27","failed","2026-07-27","","","",""
"","40398","Utente paga un pagamento singolo con cinque versamenti e nessuna marca da bollo","","2026-07-27","passed","2026-07-27","","","",""
"","39606","L'utente paga un carrello con singola RPT senza marca da bollo gia esistente in GPD","","2026-07-27","failed","2026-07-27","","","",""
"","6061","Utente tenta di pagare un pagamento singolo inserito da ACA e in stato non valido","","2026-07-27","passed","2026-07-27","","","",""
"","46548","L'utente paga un carrello con due RPT con versamenti multipli gia esistente in GPD","","2026-07-27","passed","2026-07-27","","","",""
"","6501","L'utente tenta di pagare un carrello con singola RPT inserita da ACA e in stato non valido","","2026-07-27","passed","2026-07-27","","","",""
"","6325","L'utente tenta di pagare un carrello con singola RPT gia esistente in GPD in stato non valido","","2026-07-27","passed","2026-07-27","","","",""
"","47918","L'utente paga un carrello con due RPT con almeno una marca da bollo gia esistente in GPD","","2026-07-27","passed","2026-07-27","","","",""
"","40313","L'utente paga un carrello con singola RPT con due versamenti semplici e una marca da bollo","","2026-07-27","passed","2026-07-27","","","",""
"","7350","Utente tenta il pagamento, poi riprova il flusso ma fallisce","","2026-07-27","passed","2026-07-27","","","",""
"","44144","L'utente paga un carrello con tre RPT per un totale di cinque versamenti","","2026-07-27","passed","2026-07-27","","","",""
"","45132","L'utente paga un carrello con tre RPT per un totale di dieci versamenti","","2026-07-27","passed","2026-07-27","","","",""
